number,theme,sub_theme,year,set_name,minifigs,pieces,width,height,depth,launch_date,exit_date
75296-1,Star Wars,Episode V,2021,Darth Vader Meditation Chamber,2,663,28.2,26.2,9.6,1/8/21,31/12/2022
7115-1,Star Wars,Episode I,2000,Gungan Patrol,2,77,24,14.4,4.8,1/1/00,31/12/2001
8014-1,Star Wars,The Clone Wars,2009,Clone Walker Battle Pack,4,72,19.1,14.1,4.6,1/1/09,31/12/2010
7127-1,Star Wars,Episode VI,2001,Imperial AT-ST,1,107,14.4,19.2,4.8,1/1/01,31/12/2002
75178-1,Star Wars,The Force Awakens,2017,Jakku Quadjumper,5,457,38.2016,26.2128,5.6388,1/6/17,31/12/2018
75140-1,Star Wars,The Force Awakens,2016,Resistance Troop Transporter,4,646,48.006,28.194,6.096,1/1/16,31/12/2016
7139-1,Star Wars,Episode VI,2002,Ewok Attack,4,121,19.2,19.2,4.8,1/1/02,31/12/2003
75202-1,Star Wars,The Last Jedi,2018,Defense of Crait,5,746,54,28.2,7.9,1/1/18,31/12/2018
66533-1,Star Wars,Product Collection,2015,Microfighter 3 in 1 Super Pack,,276,,,,,
75040-1,Star Wars,Episode III,2014,General Grievous' Wheel Bike,2,261,26.1874,19.1008,4.5974,1/1/14,31/12/2015
75180-1,Star Wars,The Force Awakens,2017,Rathtar Escape,5,836,54.0004,28.194,7.8486,1/6/17,31/12/2018
75330-1,Star Wars,Diorama Collection,2022,Dagobah Jedi Training Diorama,3,1000,38.2,26.2,9.4,26/04/2022,31/12/2023
7113-1,Star Wars,Episode II,2002,Tusken Raider Encounter,3,93,19.2,14.4,4.8,23/04/2002,31/12/2003
7203-1,Star Wars,Episode I,2002,Jedi Defense I,3,59,14.4,14.4,3.9,1/1/02,31/12/2003
75112-1,Star Wars,Buildable Figures,2015,General Grievous,,186,22.1996,26.2128,6.1976,4/9/15,31/12/2016
75037-1,Star Wars,Episode III,2014,Battle on Saleucami,5,183,26.1874,14.097,4.8006,1/1/14,31/12/2015
6207-1,Star Wars,Episode VI,2006,A-wing Fighter,2,194,28.8,19.2,6,1/1/06,31/12/2006
8010-1,Star Wars,Technic,2002,Darth Vader,,391,28.8,38.4,7.2,1/1/02,31/12/2003
75174-1,Star Wars,Episode VI,2017,Desert Skiff Escape,4,277,35.4,19.1,5.9,1/1/17,31/07/2018
8091-1,Star Wars,Episode III,2010,Republic Swamp Speeder,5,176,38.2,26.2,5.7,1/1/10,31/12/2011
75261-1,Star Wars,Episode III,2019,Clone Scout Walker  – 20th Anniversary Edition,5,250,26.2,19.1,4.6,1/4/19,31/12/2019
75284-1,Star Wars,The Rise of Skywalker,2020,Knights of Ren Transport Ship,3,595,38.2,26.2,7.1,1/8/20,31/12/2021
75023-1,Star Wars,Seasonal,2013,Star Wars Advent Calendar,9,254,38.2,26.2,7.1,,
75316-1,Star Wars,The Clone Wars,2021,Mandalorian Starfighter,3,544,38.2,26.2,7.1,1/8/21,31/12/2022
4475-1,Star Wars,Episode VI,2003,Jabba's Message,3,44,14.4,14.4,3.9,1/1/03,31/12/2003
9496-1,Star Wars,Episode VI,2012,Desert Skiff,4,213,35.4,19.1,5.9,1/6/12,28/02/2014
75049-1,Star Wars,Episode V,2014,Snowspeeder,3,278,22.1996,26.1874,6.1976,1/6/14,31/12/2015
75038-1,Star Wars,Episode III,2014,Jedi Interceptor,2,223,26.1874,19.1008,6.096,1/1/14,31/12/2015
30625-1,Star Wars,Episode IV,2022,Luke Skywalker with Blue Milk,1,6,,,,,
75272-1,Star Wars,The Rise of Skywalker,2020,Sith TIE Fighter,3,470,35.4,37.8,7.1,1/1/20,31/07/2021
TRUFALCON-1,Star Wars,Promotional,2016,Millennium Falcon,,44,,,,,
75080-1,Star Wars,Episode I,2015,AAT,3,251,26.1874,19.1008,6.096,1/1/15,31/12/2015
